id,scale_multiplier,beta0,cycle_rank,edges
J1,0.55,19,118,199
J1,0.75,7,340,433
J1,1,4,704,800
J1,1.25,2,1135,1233
J1,1.5,2,1616,1714
J2,0.55,29,101,172
J2,0.75,13,306,393
J2,1,7,652,745
J2,1.25,4,1048,1144
J2,1.5,2,1414,1512
R1,0.55,4,302,398
R1,0.75,1,735,834
R1,1,1,1385,1484
R1,1.25,1,2120,2219
R1,1.5,1,2766,2865
R2,0.55,7,390,483
R2,0.75,3,779,876
R2,1,3,1323,1420
R2,1.25,3,1816,1913
R2,1.5,3,2249,2346
M1,0.55,3,1591,1688
M1,0.75,3,2496,2593
M1,1,2,3376,3474
M1,1.25,2,4026,4124
M1,1.5,2,4321,4419
M2,0.55,2,1974,2072
M2,0.75,2,2670,2768
M2,1,2,3365,3463
M2,1.25,2,3881,3979
M2,1.5,1,4274,4373
A1,0.55,3,663,760
A1,0.75,2,1211,1309
A1,1,1,1980,2079
A1,1.25,1,2616,2715
A1,1.5,1,3185,3284
A2,0.55,33,35,102
A2,0.75,13,113,200
A2,1,3,271,368
A2,1.25,1,529,628
A2,1.5,1,857,956
E1,0.55,11,174,263
E1,0.75,3,470,567
E1,1,2,1017,1115
E1,1.25,2,1625,1723
E1,1.5,1,2278,2377
E2,0.55,6,1866,1960
E2,0.75,3,2496,2593
E2,1,2,3091,3189
E2,1.25,2,3463,3561
E2,1.5,2,3740,3838
C1,0.55,5,552,647
C1,0.75,4,1100,1196
C1,1,4,1837,1933
C1,1.25,4,2469,2565
C1,1.5,2,2954,3052
C2,0.55,24,136,212
C2,0.75,12,387,475
C2,1,7,848,941
C2,1.25,5,1418,1513
C2,1.5,4,2030,2126
