control,metric,mean_delta,median_delta,positive_fraction,n
block_shuffle,hurst_pc1,-0.002751697804090461,0.0015215782143386258,0.50875,800
block_shuffle,metastability_slem,0.03258331955213539,0.03131222545379453,0.905,800
block_shuffle,permutation_entropy,-0.009326595628886653,-0.007840836540628227,0.14,800
block_shuffle,rqa_determinism,0.030780260351168865,0.03060938338233512,0.7725,800
block_shuffle,rqa_laminarity,0.021070993995963346,0.021873891420611108,0.6725,800
block_shuffle,rqa_mean_diag,0.10913143180954198,0.07004502503541632,0.77875,800
block_shuffle,self_retention,0.013563636330674176,0.013262623952969094,0.9475,800
block_shuffle,statistical_complexity,0.011719063874046578,0.010240914321096348,0.825,800
block_shuffle,time_asymmetry_tau1,0.004254851939216948,0.0037330057088020177,0.595,800
block_shuffle,time_asymmetry_tau5,0.008892573050584362,0.011136742796880518,0.55625,800
block_shuffle,transition_entropy_norm,-0.014529613608580585,-0.012092832275064386,0.01,800
block_shuffle,triplet_irreversibility,-0.00018404100027491412,-0.00015960311578901154,0.46125,800
phase_randomized,hurst_pc1,0.06991088648322476,0.07004468375720507,0.75,80
phase_randomized,metastability_slem,0.5598324604435537,0.5679128600544119,1.0,80
phase_randomized,permutation_entropy,-0.07748731892899552,-0.07189671050928881,0.0375,80
phase_randomized,rqa_determinism,0.1757675602439401,0.14391977765118713,0.9375,80
phase_randomized,rqa_laminarity,0.1911116118854897,0.16567926223773083,0.9,80
phase_randomized,rqa_mean_diag,0.28750841094511126,0.18376716137444404,0.925,80
phase_randomized,self_retention,-0.1677783386044277,-0.18799982713224583,0.2625,80
phase_randomized,statistical_complexity,0.10959274755372457,0.10398770710856584,0.95,80
phase_randomized,time_asymmetry_tau1,0.06937286898724473,0.03351790953142996,0.7,80
phase_randomized,time_asymmetry_tau5,0.0041647927294843155,0.026458445520145465,0.525,80
phase_randomized,topo_h1_max,0.009703016094863414,0.0007356330752372742,0.5,80
phase_randomized,topo_h1_sig_count,-0.2125,0.0,0.375,80
phase_randomized,topo_h1_total,-0.3865788044873625,-0.40610818564891815,0.325,80
phase_randomized,transition_entropy_norm,0.2041036314887786,0.22110399354019528,0.875,80
phase_randomized,triplet_irreversibility,0.13290571320045724,0.09871141170454034,0.9625,80
reverse,hurst_pc1,-0.0016229868392427474,-0.0015450956521662618,0.45,80
reverse,metastability_slem,0.0017837442447082266,6.38378239159465e-16,0.55,80
reverse,permutation_entropy,3.083537547866888e-06,0.0,0.2625,80
reverse,rqa_determinism,-0.015389357251636825,-0.008508502332589443,0.325,80
reverse,rqa_laminarity,-0.004378931127205718,0.001801374383815113,0.5125,80
reverse,rqa_mean_diag,-0.03281108054468745,-0.019790402443125243,0.35,80
reverse,self_retention,8.336445802730464e-05,0.0,0.4375,80
reverse,statistical_complexity,-4.115942465202343e-06,0.0,0.375,80
reverse,time_asymmetry_tau1,0.13599486502842156,0.06433806818399676,0.6875,80
reverse,time_asymmetry_tau5,-0.0027849935831132182,0.01776086297128402,0.55,80
reverse,transition_entropy_norm,-4.218037179358706e-05,-4.269142674512283e-07,0.4625,80
reverse,triplet_irreversibility,0.0,0.0,0.0,80
shuffle,hurst_pc1,0.19144026791934862,0.20311531480255934,0.95125,800
shuffle,metastability_slem,0.5710856002714015,0.5882589591654477,0.9975,800
shuffle,permutation_entropy,-0.09084029128328641,-0.08553458205588732,0.0,800
shuffle,rqa_determinism,0.13093790196829405,0.11064424279281172,0.96375,800
shuffle,rqa_laminarity,0.14360302154015508,0.12526385619436498,0.8925,800
shuffle,rqa_mean_diag,0.25459758849597325,0.16588234941131352,0.935,800
shuffle,self_retention,0.2798083115559729,0.27706447693394687,0.9975,800
shuffle,statistical_complexity,0.13208560745588718,0.12893708734967557,1.0,800
shuffle,time_asymmetry_tau1,0.0669411135792413,0.045999280444645296,0.65125,800
shuffle,time_asymmetry_tau5,-0.0018845397431808825,0.011454326936743486,0.5325,800
shuffle,transition_entropy_norm,-0.14732126880743265,-0.13412803721312738,0.0025,800
shuffle,triplet_irreversibility,0.0008688408801458456,0.002356559354360086,0.52875,800
