id,title,duration_s,entropy_norm,effective_states,self_retention,transition_entropy_norm,detailed_balance_violation,metastability_slem,free_energy_range,heat_capacity,triplet_irreversibility,permutation_entropy,statistical_complexity,hurst_pc1,time_asymmetry_tau1,time_asymmetry_tau5,speed_mean,speed_cv,acceleration_mean,turn_angle_mean,tortuosity,rqa_recurrence_rate,rqa_determinism,rqa_mean_diag,rqa_max_diag,rqa_laminarity,rqa_trapping_time,topo_h1_count,topo_h1_sig_count,topo_h1_total,topo_h1_max,topo_h1_entropy
ACO01,Acoustic Guitar Rpg Tune With Strings And Pi,29.99201814058957,0.055444412165736104,1.1661696233066758,0.9720273649117916,0.03882267655742286,2.2324529200483563e-05,0.6204010466738864,6.440946539989948,0.6019893045146435,0.0,0.9145214786477881,0.14275348349856445,0.8605693581521501,0.048139797738487346,0.13579629225996354,0.5336714150866193,0.7844849402556857,0.819469912628416,1.6893638077832842,165.0071538729985,0.17337057728119182,0.5442176870748299,2.4918032786885247,9.0,0.683673469387755,2.873589164785553,34,1,1.4334678500890732,0.1595795750617981,3.1840084907032136
ACO02,LaDaDa Guitar,30.0,0.6379926105454395,5.864346879265832,0.507107773071025,0.4839852345589012,0.09470100574339234,0.6796820807223873,5.480638922700675,1.0377362433874182,0.1837503745329289,0.9276715496377725,0.12282383306076686,0.7250479933614405,0.03942878347221266,-0.1827315530239199,1.5381028677474988,0.7908536735447257,2.4059615117405944,1.7108383935682188,193.36961299274304,0.08069522036002483,0.1961538461538461,2.0901639344262297,4.0,0.3219230769230768,2.185378590078329,36,1,1.5467423796653748,0.16279946267604828,3.2827905350093793
ACO03,Revelation,30.0,0.06603171004662922,1.2009090054639655,0.9378407661121192,0.06378541466248566,0.009319266641369242,0.05670479771237424,6.4345465181444865,0.6743211841131841,0.010120405210919057,0.8736879884211152,0.19719293615455835,0.7705899257273839,-0.09254818610749162,-0.16482861809679722,0.6782954807459145,0.5999971671434992,1.0530319988546217,1.7397220355497465,360.76898583721106,0.052265673494723774,0.16270783847980988,2.4464285714285716,9.0,0.2814726840855105,2.184331797235023,34,4,2.24164742231369,0.37387317419052124,3.071846930070337
ACO04,Dialup Song,30.0,0.695075974778565,6.869970476489974,0.5118649466475544,0.4656355108510165,0.13991081382385706,0.7476009261936294,3.855452653782159,0.5162660886798629,0.17249226228585415,0.8900383315041864,0.17962430956734338,0.7016543674442566,0.03898778825776234,0.03938189681578111,1.777580415617285,0.8713498918076953,2.7567426208501002,1.6558451083538577,210.33293208073286,0.12259466170080695,0.35341772151898726,2.538181818181818,21.0,0.47670886075949354,2.2550898203592813,34,0,1.3196891620755196,0.1283024549484253,3.0948788265023355
ACO05,Happy Ukelele Island Surfing Theme,30.0,0.5015214935773128,4.0169095449115995,0.5290510260240577,0.38794986431885503,0.11354666247346473,0.5464001947866444,5.981414210612107,1.5739660784263605,0.18539392782165948,0.9399658934640486,0.11122642495435861,0.7793150893166613,0.19904299736767792,0.08293933423503312,2.205285482703032,0.5870899333109199,3.444499418190662,1.7944338884878634,394.526180149339,0.08305400372439478,0.2010463378176382,2.186991869918699,4.0,0.28624813153961126,2.2011494252873565,39,3,1.865099161863327,0.17461103200912476,3.271289983919022
ACO06,Midi Pack 1 24 New Tunes,30.0,0.35360114898651585,2.6654970694719156,0.8167701863354024,0.20410030981530086,0.012422360248447183,0.9984138109868999,5.3958976945663615,1.0302137212252926,0.021744624378373132,0.8611289996890359,0.20544237677860963,0.8385689337192896,-0.0038849139324797655,-0.08678610225250642,0.6212203630106613,0.5103391270022789,0.9155076287513102,1.6903804165264436,62.42711291673405,0.13625077591558038,0.4656036446469247,2.3602771362586603,6.0,0.5890660592255124,2.562933597621407,31,1,1.1206121742725372,0.16055136919021606,3.0304531576941516
ACO07,Wine Less Cry More,30.0,0.5594904697290284,4.717301719673132,0.6671335200746954,0.3522627942485374,0.09629358989972786,0.7455665872827979,4.9344739328110085,0.814695154257088,0.09923406387283604,0.8693737008880765,0.17787471306925629,0.7751588781972616,0.11639759291806487,0.20677087663050403,1.380268131372794,0.9982704866628904,2.1113299228911777,1.5886119314112255,538.1501821136417,0.12153941651148355,0.3947906026557711,2.4462025316455698,23.0,0.5375383043922368,2.5608272506082725,37,1,1.5034768283367157,0.19456952810287476,3.205894084258861
ACO08,A Small Fire Will Do Calming Loop,29.99628117913832,0.4507778067509088,3.4897198585411138,0.7621450754214717,0.26449271231915217,0.0822981366459626,0.7861778128543783,5.8230458948409245,0.8126063531784153,0.10082877672793344,0.7542995733361845,0.26239761146302554,0.8586413350159458,0.17731727631553554,0.3471025649374573,0.8787138171258841,1.1567324128885528,1.2724661881228567,1.4655343016244522,103.92342156292722,0.10769708255741775,0.4270893371757924,2.3375394321766563,6.0,0.44639769452449557,2.346969696969697,45,2,2.108572483062744,0.15913766622543335,3.484257230703945
ACO09,Fouler l horizon,30.0,0.5486828392365328,4.578044089205949,0.5786273529901707,0.4181922243450755,0.04802360724399696,0.5862925759521042,5.568344503119555,0.5911674088818818,0.05098404013551738,0.9002198788958562,0.16218530550283253,0.7487781998259992,-0.006751545929711483,0.030704707444102333,1.056597810150645,0.6732573861196104,1.5891144728724511,1.6365315944501901,570.3254098582239,0.06585971446306642,0.17530631479736092,2.1379310344827585,4.0,0.2912346842601318,2.1914893617021276,47,3,2.5368297398090363,0.17148011922836304,3.4173579365332545
ACO10,Gypselectric Guitar,30.0,0.34068385256534534,2.57172327050837,0.762582994217176,0.23662788043852997,0.06328978367958868,0.7080813632291484,4.818263401289101,1.6895234459603297,0.10035750831187132,0.8400484206755235,0.23147542935713897,0.7995055748503251,0.2366751373489705,0.011252531825950726,1.236127917581679,0.6434345990366954,1.8425818091901254,1.6060770364988812,315.927392528167,0.06672873991309745,0.17581395348837203,2.147727272727273,3.0,0.1874418604651162,2.132275132275132,39,2,2.205522298812866,0.19741958379745483,3.3570032541965293
